receptor,taxa,gene,orientation,chromosome,start,end
cnr2,Ornithorhynchus_anatinus,IFNLR1,-,16,43043052,43062820
cnr2,Gallus_gallus,PITHD1,+,23,5947056,5948690
cnr2,Gallus_gallus,LYPLA2,+,23,5948917,5955378
cnr2,Gallus_gallus,GALE,-,23,5955467,5958541
cnr2,Gallus_gallus,HMGCL,-,23,5958465,5962094
cnr2,Gallus_gallus,FUCA1,-,23,5962508,5967185
cnr2,Gallus_gallus,CNR2,-,23,5967212,5973871
cnr2,Gallus_gallus,PNRC2,+,23,5974029,5978141
cnr2,Gallus_gallus,SRSF10,-,23,5978554,5989184
cnr2,Gallus_gallus,GRHL3,+,23,5989343,6108444
cnr2,Gallus_gallus,LBFABP,-,23,5991640,5994154
cnr2,Gallus_gallus,MYOM3,-,23,5993210,6021705
cnr2,Chelonia_mydas,PITHD1,+,19,7980301,7989311
cnr2,Chelonia_mydas,LYPLA2,+,19,7990819,8006771
cnr2,Chelonia_mydas,GALE,-,19,8006769,8020544
cnr2,Chelonia_mydas,HMGCL,-,19,8021751,8032942
cnr2,Chelonia_mydas,FUCA1,-,19,8033766,8041200
cnr2,Chelonia_mydas,CNR2,-,19,8041891,8062582
cnr2,Chelonia_mydas,PNRC2,+,19,8075701,8094155
cnr2,Chelonia_mydas,SRSF10,-,19,8086727,8097509
cnr2,Chelonia_mydas,L-FABP,-,19,8102213,8106881
cnr2,Chelonia_mydas,MYOM3,-,19,8109531,8182286
cnr2,Chelonia_mydas,IL22RA1,-,19,8182845,8192751
cnr2,Xenopus_tropicalis,RRAGC,-,2,80415366,80429164
cnr2,Xenopus_tropicalis,MYCBP,-,2,80435812,80449303
cnr2,Xenopus_tropicalis,GJA9,-,2,80451858,80457606
cnr2,Xenopus_tropicalis,RHBDL2,-,2,80478581,80498773
cnr2,Xenopus_tropicalis,AKIRIN1,-,2,80520535,80530253
cnr2,Xenopus_tropicalis,CNR2,-,2,80556799,80580537
cnr2,Xenopus_tropicalis,PNRC2,+,2,80604924,80610471
cnr2,Xenopus_tropicalis,SRSF10,-,2,80617234,80629172
cnr2,Xenopus_tropicalis,XB5907626,-,2,80636299,80639158
cnr2,Xenopus_tropicalis,MYOM3,-,2,80647950,80710388
cnr2,Xenopus_tropicalis,IL22RA1,-,2,80721776,80744124
cnr2,Protopterus_annectens,MYOM3,+,1.part1,1569880427,1570402937
cnr2,Protopterus_annectens,FABP1,+,1.part1,1570664559,1570699663
cnr2,Protopterus_annectens,SRSF10,+,1.part1,1570761785,1571218739
cnr2,Protopterus_annectens,PNRC2,-,1.part1,1571587652,1571588050
cnr2,Protopterus_annectens,MAPK7,-,1.part1,1571999678,1572735143
cnr2,Protopterus_annectens,CNR2,+,1.part1,1574141960,1574272490
cnr2,Protopterus_annectens,GJA9,-,1.part1,1574506603,1574508443
cnr2,Protopterus_annectens,ZP3,+,1.part1,1574928750,1574960084
cnr2,Protopterus_annectens,RHBDL2,-,1.part1,1575045060,1575640647
cnr2,Protopterus_annectens,AKIRIN1,-,1.part1,1576193529,1576724785
cnr2,Protopterus_annectens,RRAGC,+,1.part1,1578545170,1579116769
cnr2,Latimeria_chalumnae,MYOSIN HEAD,+,27,20294847,20300080
cnr2,Latimeria_chalumnae,MYOM3,+,27,20313522,20370854
cnr2,Latimeria_chalumnae,FABP10A,+,27,20375202,20384983
cnr2,Latimeria_chalumnae,SRSF10A,+,27,20391186,20408844
cnr2,Latimeria_chalumnae,PNRC2,-,27,20414486,20419685
cnr2,Latimeria_chalumnae,CNR2,+,27,20486382,20487446
cnr2,Latimeria_chalumnae,RSPO1,+,27,20694555,20772299
cnr2,Latimeria_chalumnae,RPL38,-,27,20743724,20744069
cnr2,Latimeria_chalumnae,GNL2,+,27,20788186,20838016
cnr2,Latimeria_chalumnae,DNALI1,-,27,20838644,20851377
cnr2,Latimeria_chalumnae,SNIP1,+,27,20861100,20868582
cnr2,Danio_rerio,ME1,-,16,36056288,36224280
cnr2,Danio_rerio,PRSS35,+,16,36219031,36228017
cnr2,Danio_rerio,SNAP91A,-,16,36228853,36283095
cnr2,Danio_rerio,DOP1A,-,16,36285741,36320614
cnr2,Danio_rerio,PNRC2,-,16,36325089,36328918
cnr2,Danio_rerio,CNR2,+,16,36332372,36340989
cnr2,Danio_rerio,AKIRIN1,+,16,36344536,36363899
cnr2,Danio_rerio,RHBDL2,+,16,36366053,36375901
cnr2,Danio_rerio,GJA9A,+,16,36376869,36384800
cnr2,Danio_rerio,RRAGCA,+,16,36387175,36401449
cnr2,Danio_rerio,OSK,+,16,36477724,36578629
cnr2,Scyliorhinus_canicula,ZBTB8A,+,1,135543207,135562178
cnr2,Scyliorhinus_canicula,FUCA1,+,1,135584813,135603926
cnr2,Scyliorhinus_canicula,FUCA1,-,1,135656529,135678391
cnr2,Scyliorhinus_canicula,CD276,+,1,135782584,135794519
cnr2,Scyliorhinus_canicula,MYOSIN HEAD,-,1,136067352,136128402
cnr2,Scyliorhinus_canicula,CNR2,+,1,136128503,136142350
cnr2,Scyliorhinus_canicula,COX5A,+,1,136274237,136274677
cnr2,Scyliorhinus_canicula,AKIRIN1,+,1,136278277,136307900
cnr2,Scyliorhinus_canicula,RHBDL2,+,1,136406560,136497588
cnr2,Scyliorhinus_canicula,GJA9A,+,1,136538487,136555685
cnr2,Scyliorhinus_canicula,RRAGCA,+,1,136626656,136693643
s1pr1,Homo_sapiens,GPR88,+,1,100538138,100542020
s1pr1,Homo_sapiens,VCAM1,+,1,100719741,100739044
s1pr1,Homo_sapiens,EXTL2,-,1,100872371,100895178
s1pr1,Homo_sapiens,SLC30A7,+,1,100896089,100996077
s1pr1,Homo_sapiens,DPH5,-,1,100989622,101025783
s1pr1,Homo_sapiens,S1PR1,+,1,101236898,101242312
s1pr1,Homo_sapiens,OLFM3,-,1,101802559,101996925
s1pr1,Homo_sapiens,COL11A1,-,1,102876472,103108521
s1pr1,Homo_sapiens,RNPC3,+,1,103525698,103555238
s1pr1,Homo_sapiens,AMY2B,+,1,103554643,103579533
s1pr1,Homo_sapiens,AMY2A,+,1,103616650,103625779
s1pr1,Ornithorhynchus_anatinus,NTNG1,-,4,83272000,83573577
s1pr1,Ornithorhynchus_anatinus,AMY2A,-,4,86075397,86096555
s1pr1,Ornithorhynchus_anatinus,RNPC3,-,4,86122576,86142467
s1pr1,Ornithorhynchus_anatinus,COL11A1,+,4,86447534,86725938
s1pr1,Ornithorhynchus_anatinus,OLFM3,+,4,87239696,87452497
s1pr1,Ornithorhynchus_anatinus,S1PR1,-,4,87802701,87805413
s1pr1,Ornithorhynchus_anatinus,DUF6475,-,4,87826884,88042635
s1pr1,Ornithorhynchus_anatinus,DPH5,+,4,88042834,88082917
s1pr1,Ornithorhynchus_anatinus,SLC30A7,-,4,88094772,88190692
s1pr1,Ornithorhynchus_anatinus,EXTL2,+,4,88190809,88231242
s1pr1,Ornithorhynchus_anatinus,VCAM1,-,4,88333769,88352314
s1pr1,Gallus_gallus,AMY1A,-,8,10783962,10801833
s1pr1,Gallus_gallus,RNPC3,-,8,10802796,10817318
s1pr1,Gallus_gallus,COL11A1,+,8,10936480,11083322
s1pr1,Gallus_gallus,RVT_1,+,8,11165112,11174475
s1pr1,Gallus_gallus,OLFM3,+,8,11206223,11260846
s1pr1,Gallus_gallus,S1PR1,-,8,11401082,11453310
s1pr1,Gallus_gallus,DUF6475,-,8,11405589,11453373
s1pr1,Gallus_gallus,DPH5,+,8,11453378,11470854
s1pr1,Gallus_gallus,SLC30A7,-,8,11471653,11498603
s1pr1,Gallus_gallus,EXTL2,+,8,11498272,11506389
s1pr1,Gallus_gallus,CDC14A,+,8,11508823,11567951
s1pr1,Chelonia_mydas,AMY2A,-,8,67558468,67565549
s1pr1,Chelonia_mydas,AMY2A,-,8,67570999,67583997
s1pr1,Chelonia_mydas,RNPC3,-,8,67601662,67624495
s1pr1,Chelonia_mydas,COL11A1,+,8,67862421,68097455
s1pr1,Chelonia_mydas,OLFM3,+,8,68519243,68626838
s1pr1,Chelonia_mydas,S1PR1,-,8,68866110,68871660
s1pr1,Chelonia_mydas,DUF6475,-,8,68873557,68950161
s1pr1,Chelonia_mydas,DPH5,+,8,68950190,68979464
s1pr1,Chelonia_mydas,SLC30A7,-,8,68980497,69035095
s1pr1,Chelonia_mydas,EXTL2,+,8,69035252,69050268
s1pr1,Chelonia_mydas,CDC14A,+,8,69053831,69166904
s1pr1,Xenopus_tropicalis,VCAM1,+,4,108896952,108907533
s1pr1,Xenopus_tropicalis,EXTL2,-,4,108928820,108943890
s1pr1,Xenopus_tropicalis,SLC30A7,+,4,108944019,108962262
s1pr1,Xenopus_tropicalis,DPH5,-,4,108970803,108985937
s1pr1,Xenopus_tropicalis,XB5731323,+,4,108986038,109052793
s1pr1,Xenopus_tropicalis,S1PR1,+,4,109056786,109062825
s1pr1,Xenopus_tropicalis,OLFM3,-,4,109160387,109234872
s1pr1,Xenopus_tropicalis,COL11A1,-,4,109427246,109550282
s1pr1,Xenopus_tropicalis,RNPC3,+,4,109694986,109710059
s1pr1,Xenopus_tropicalis,AMY2B,+,4,109712922,109728231
s1pr1,Xenopus_tropicalis,AMY2A,+,4,109730392,109737476
s1pr1,Protopterus_annectens,QSOX1,-,10.part0,977338613,978598509
s1pr1,Protopterus_annectens,CEP350,-,10.part0,978862664,982472609
s1pr1,Protopterus_annectens,EXTL2,-,10.part0,982917507,983181950
s1pr1,Protopterus_annectens,SLC30A7,+,10.part0,983260517,984643332
s1pr1,Protopterus_annectens,DPH5,-,10.part0,985395113,985781606
s1pr1,Protopterus_annectens,S1PR1,+,10.part0,988739899,988744051
s1pr1,Protopterus_annectens,ADGRL4,-,10.part0,989458170,990165607
s1pr1,Protopterus_annectens,TMEM125,-,10.part0,991390787,991584744
s1pr1,Protopterus_annectens,IFI44L,-,10.part0,991839337,992292701
s1pr1,Protopterus_annectens,ABO,-,10.part0,993121469,993756438
s1pr1,Protopterus_annectens,AP1M2,-,10.part0,994935098,996084713
s1pr1,Latimeria_chalumnae,PRMT6,-,6,58268426,58272357
s1pr1,Latimeria_chalumnae,AMY2A,-,6,60477782,60493615
s1pr1,Latimeria_chalumnae,RNPC3,-,6,60513138,60548201
s1pr1,Latimeria_chalumnae,COL11A1A,+,6,61005405,61353106
s1pr1,Latimeria_chalumnae,OLFM3A,+,6,61632533,61734487
s1pr1,Latimeria_chalumnae,S1PR1,-,6,61918437,61919741
s1pr1,Latimeria_chalumnae,S1PR1,-,6,61936434,61940963
s1pr1,Latimeria_chalumnae,AKR,-,6,61941971,62088069
s1pr1,Latimeria_chalumnae,DPH5,+,6,62088481,62148134
s1pr1,Latimeria_chalumnae,SLC30A7,-,6,62162562,62211565
s1pr1,Latimeria_chalumnae,EXTL2,+,6,62214350,62224771
s1pr1,Latimeria_chalumnae,VCAM1B,-,6,62262720,62281131
s1pr1,Danio_rerio,EPS15L1A,-,22,15627901,15677374
s1pr1,Danio_rerio,STIL,+,22,15680234,15692856
s1pr1,Danio_rerio,RC3H1A,+,22,15693410,15742316
s1pr1,Danio_rerio,SERPINC1,+,22,15742602,15748582
s1pr1,Danio_rerio,ZBTB37,-,22,15747855,15756477
s1pr1,Danio_rerio,S1PR1,-,22,15758875,15762630
s1pr1,Danio_rerio,DPH5,+,22,15818226,15834334
s1pr1,Danio_rerio,SLC30A7,-,22,15835992,15868243
s1pr1,Danio_rerio,VCAM1B,-,22,15884009,15894048
s1pr1,Danio_rerio,GPR88,-,22,15898082,15899892
s1pr1,Danio_rerio,CDC14AB,-,22,15904301,15978197
s1pr1,Scyliorhinus_canicula,SSBP3A,-,4,88449217,88722509
s1pr1,Scyliorhinus_canicula,KEAP1,+,4,88749835,88761068
s1pr1,Scyliorhinus_canicula,RPS15A,+,4,88795901,88796347
s1pr1,Scyliorhinus_canicula,ACOT11A,+,4,88839125,88970066
s1pr1,Scyliorhinus_canicula,FAM151A,-,4,88976255,89013713
s1pr1,Scyliorhinus_canicula,S1PR1,-,4,89039918,89044295
s1pr1,Scyliorhinus_canicula,RB1,+,4,89044140,89046261
s1pr1,Scyliorhinus_canicula,AKR,-,4,89101724,89298415
s1pr1,Scyliorhinus_canicula,DPH5,+,4,89298465,89399272
s1pr1,Scyliorhinus_canicula,SLC30A7,-,4,89463740,89544127
s1pr1,Scyliorhinus_canicula,EXTL2,+,4,89547743,89579438
s1pr2,Homo_sapiens,PPAN,+,19,10106222,10112011
s1pr2,Homo_sapiens,PPAN-P2RY11,+,19,10106361,10115371
s1pr2,Homo_sapiens,P2RY11,+,19,10111692,10115371
s1pr2,Homo_sapiens,EIF3G,-,19,10115013,10119898
s1pr2,Homo_sapiens,DNMT1,-,19,10133345,10194952
s1pr2,Homo_sapiens,S1PR2,-,19,10221432,10231330
s1pr2,Homo_sapiens,MRPL4,+,19,10251950,10260054
s1pr2,Homo_sapiens,ICAM1,+,19,10271119,10286614
s1pr2,Homo_sapiens,ICAM4,+,19,10286954,10288519
s1pr2,Homo_sapiens,ICAM5,+,19,10289951,10296777
s1pr2,Homo_sapiens,ZGLP1,-,19,10304802,10309814
s1pr2,Ornithorhynchus_anatinus,RDH8,+,X2,7839774,7844286
s1pr2,Ornithorhynchus_anatinus,ANGPTL6,+,X2,7854749,7859215
s1pr2,Ornithorhynchus_anatinus,PPAN,+,X2,7868175,7871732
s1pr2,Ornithorhynchus_anatinus,EIF3G,-,X2,7876470,7879786
s1pr2,Ornithorhynchus_anatinus,DNMT1,-,X2,7884683,7923362
s1pr2,Ornithorhynchus_anatinus,S1PR2,-,X2,7929425,7937244
s1pr2,Ornithorhynchus_anatinus,MRPL4,+,X2,7950252,7964358
s1pr2,Ornithorhynchus_anatinus,ICAM5,+,X2,7967675,7977208
s1pr2,Ornithorhynchus_anatinus,ZGLP1,-,X2,7979340,7981718
s1pr2,Ornithorhynchus_anatinus,FDX2,-,X2,7982886,7984359
s1pr2,Ornithorhynchus_anatinus,RAVER1,-,X2,7984495,7992498
s1pr2,Gallus_gallus,OLFM2,-,30,551453,559717
s1pr2,Gallus_gallus,RDH8,+,30,560703,567958
s1pr2,Gallus_gallus,PPAN,+,30,568077,577850
s1pr2,Gallus_gallus,EIF3G,-,30,578447,584346
s1pr2,Gallus_gallus,DNMT1,-,30,584540,607789
s1pr2,Gallus_gallus,S1PR2,-,30,611040,614171
s1pr2,Gallus_gallus,ELOF1,-,30,618235,619072
s1pr2,Gallus_gallus,ACP5,-,30,619320,622437
s1pr2,Gallus_gallus,NFIX,-,30,624835,638285
s1pr2,Gallus_gallus,GADD45GIP1,+,30,639674,641726
s1pr2,Gallus_gallus,RAD23A,-,30,640987,644249
s1pr2,Chelonia_mydas,FDX2,+,20,17785332,17789310
s1pr2,Chelonia_mydas,ZGLP1,+,20,17791194,17804886
s1pr2,Chelonia_mydas,HMCN1,-,20,17812932,17891847
s1pr2,Chelonia_mydas,VCAM1,-,20,17933675,17942875
s1pr2,Chelonia_mydas,MRPL4,-,20,17947243,17955016
s1pr2,Chelonia_mydas,S1PR2,+,20,17982171,17992585
s1pr2,Chelonia_mydas,DNMT1,+,20,18005816,18038763
s1pr2,Chelonia_mydas,EIF3G,+,20,18043047,18050035
s1pr2,Chelonia_mydas,7TM_1,-,20,18050329,18058560
s1pr2,Chelonia_mydas,ANGPTL6,+,20,18074374,18079819
s1pr2,Chelonia_mydas,SHFL,-,20,18083136,18097583
s1pr2,Xenopus_tropicalis,COL5A3,+,3,136916215,137048272
s1pr2,Xenopus_tropicalis,PPAN,+,3,137053843,137063013
s1pr2,Xenopus_tropicalis,P2RY11,+,3,137067990,137086396
s1pr2,Xenopus_tropicalis,EIF3G,-,3,137090826,137101021
s1pr2,Xenopus_tropicalis,DNMT1,-,3,137106109,137122281
s1pr2,Xenopus_tropicalis,S1PR2,-,3,137139716,137169124
s1pr2,Xenopus_tropicalis,MRPL4,+,3,137267352,137273069
s1pr2,Xenopus_tropicalis,ICAM5,+,3,137310426,137330934
s1pr2,Xenopus_tropicalis,ICAM5,-,3,137340230,137352827
s1pr2,Xenopus_tropicalis,C2-SET,-,3,137367293,137431332
s1pr2,Xenopus_tropicalis,ICAM3,-,3,137436770,137447750
s1pr2,Protopterus_annectens,GADD45GIP1,-,9.part0,1790283017,1790303546
s1pr2,Protopterus_annectens,NFIX,-,9.part0,1790912446,1793188299
s1pr2,Protopterus_annectens,NFIX,-,9.part0,1793829719,1793831056
s1pr2,Protopterus_annectens,LYL1,-,9.part0,1798545135,1798911148
s1pr2,Protopterus_annectens,FOXP2,-,9.part0,1800310142,1800312755
s1pr2,Protopterus_annectens,S1PR2,+,9.part0,1802897896,1803484757
s1pr2,Protopterus_annectens,DNMT1,+,9.part0,1804388912,1805250994
s1pr2,Protopterus_annectens,EIF3G,-,9.part0,1805710712,1805905840
s1pr2,Protopterus_annectens,SHFL,+,9.part0,1805987258,1807539872
s1pr2,Protopterus_annectens,ANGPTL6,-,9.part0,1807629966,1808281411
s1pr2,Protopterus_annectens,P2RY11,+,9.part0,1808451011,1808569040
s1pr2,Latimeria_chalumnae,GNG5,+,6,135810808,135820300
s1pr2,Latimeria_chalumnae,MYOSIN HEAD,-,6,135911773,135941025
s1pr2,Latimeria_chalumnae,PALMD,-,6,135963507,136070246
s1pr2,Latimeria_chalumnae,P2RY1,+,6,136105522,136106517
s1pr2,Latimeria_chalumnae,DNMT1,-,6,136134226,136266495
s1pr2,Latimeria_chalumnae,S1PR2,-,6,136400132,136537951
s1pr2,Latimeria_chalumnae,VCAM1,+,6,136765116,136810336
s1pr2,Latimeria_chalumnae,NOD1,+,6,137020577,137030526
s1pr2,Latimeria_chalumnae,AXIN2,+,6,137113461,137142205
s1pr2,Latimeria_chalumnae,MYADM,+,6,137163786,137198747
s1pr2,Latimeria_chalumnae,PRR36,-,6,137544695,137560252
s1pr2,Danio_rerio,ANGPTL6,-,3,57068738,57095325
s1pr2,Danio_rerio,PPAN,+,3,57098667,57113767
s1pr2,Danio_rerio,P2RY11,+,3,57113304,57123795
s1pr2,Danio_rerio,EIF3G,+,3,57127838,57135999
s1pr2,Danio_rerio,DNMT1,-,3,57137394,57153393
s1pr2,Danio_rerio,S1PR2,-,3,57162197,57215531
s1pr2,Danio_rerio,ICAM3,+,3,57290490,57320026
s1pr2,Danio_rerio,VCAM1,+,3,57322562,57343890
s1pr2,Danio_rerio,ICAM2,+,3,57352912,57362043
s1pr2,Danio_rerio,UBALD1B,-,3,57382830,57392810
s1pr2,Danio_rerio,MGRN1B,+,3,57395489,57421236
s1pr2,Scyliorhinus_canicula,RLN3A,+,25,1467904,1469815
s1pr2,Scyliorhinus_canicula,IL12RB2,+,25,1477277,1582296
s1pr2,Scyliorhinus_canicula,TNPO2,+,25,1607067,1622504
s1pr2,Scyliorhinus_canicula,GTF2F1,-,25,1640598,1666313
s1pr2,Scyliorhinus_canicula,YJU2B,-,25,1679722,1704946
s1pr2,Scyliorhinus_canicula,S1PR2,-,25,1733698,1745622
s1pr2,Scyliorhinus_canicula,S1PR2,-,25,1809092,1879681
s1pr2,Scyliorhinus_canicula,HMCN1,+,25,2037607,2376877
s1pr2,Scyliorhinus_canicula,S1PR5,+,25,2434701,2446033
s1pr2,Scyliorhinus_canicula,SPC24,-,25,2473035,2489240
s1pr2,Scyliorhinus_canicula,DENND1B,+,25,2489430,2580875
s1pr2,Scyliorhinus_canicula,CRB3,-,25,2584726,2609121
s1pr3,Homo_sapiens,CDK20,-,9,87966440,87974532
s1pr3,Homo_sapiens,SYNCYTIN-A,-,9,88037467,88077899
s1pr3,Homo_sapiens,SPATA31C2,-,9,88129304,88138474
